,player_id,name,position,age,draft_year,season,completions_y_pred_gbf,attempts_y_pred_gbf,passing_yards_y_pred_gbf,passing_tds_y_pred_gbf,interceptions_y_pred_gbf,sacks_y_pred_gbf,sack_yards_y_pred_gbf,sack_fumbles_y_pred_gbf,sack_fumbles_lost_y_pred_gbf,passing_air_yards_y_pred_gbf,passing_yards_after_catch_y_pred_gbf,passing_first_downs_y_pred_gbf,passing_epa_y_pred_gbf,passing_2pt_conversions_y_pred_gbf,pacr_y_pred_gbf,dakota_y_pred_gbf,carries_y_pred_gbf,rushing_yards_y_pred_gbf,rushing_tds_y_pred_gbf,rushing_fumbles_y_pred_gbf,rushing_fumbles_lost_y_pred_gbf,rushing_first_downs_y_pred_gbf,rushing_epa_y_pred_gbf,rushing_2pt_conversions_y_pred_gbf,receptions_y_pred_gbf,targets_y_pred_gbf,receiving_yards_y_pred_gbf,receiving_tds_y_pred_gbf,receiving_fumbles_y_pred_gbf,receiving_fumbles_lost_y_pred_gbf,receiving_air_yards_y_pred_gbf,receiving_yards_after_catch_y_pred_gbf,receiving_first_downs_y_pred_gbf,receiving_epa_y_pred_gbf,receiving_2pt_conversions_y_pred_gbf,racr_y_pred_gbf,target_share_y_pred_gbf,air_yards_share_y_pred_gbf,wopr_x_y_pred_gbf,special_teams_tds_y_pred_gbf,fantasy_points_y_pred_gbf,fantasy_points_ppr_y_pred_gbf,games_y_pred_gbf,tgt_sh_y_pred_gbf,ay_sh_y_pred_gbf,yac_sh_y_pred_gbf,wopr_y_y_pred_gbf,ry_sh_y_pred_gbf,rtd_sh_y_pred_gbf,rfd_sh_y_pred_gbf,rtdfd_sh_y_pred_gbf,dom_y_pred_gbf,w8dom_y_pred_gbf,yptmpa_y_pred_gbf,ppr_sh_y_pred_gbf,scrimage_yards_y_pred_gbf,scrimage_touchdowns_y_pred_gbf,fantasy_points_proj,fantasy_points_proj/G
981,00-0029239,Brandon Bolden,RB,33,2012.0,2024,2.5822829846056382e-06,-0.008072533286370467,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,-0.019138361800847815,3.227853730757053e-06,1.936712238454226e-06,0.00500128606279377,0.0,1.2911414923028191e-06,0.0,28.949739715761474,92.44707756876106,1.007060097768722,0.4274832520005034,0.5945747852803701,8.468483416002641,-1.6213398579757228,0.06009724110935533,5.017034488361963,8.772286219023194,20.341282965381584,1.1123270902770737,0.11509514590942709,0.05276431909374408,15.60388186453707,41.86022741651221,1.1374079067908545,1.756126050917022,-1.8342526298584166e-05,14.679067620966658,0.3104641856207656,0.014344509618254822,0.535720549518955,1.9367122384542317e-06,48.25252339950081,44.916496909166504,5.195727589449543,0.03762895200934897,0.012635254556701314,0.04804562419592059,0.0588986628477621,0.015575899781821358,0.047399787565473014,0.016911008689893262,0.02058298821943644,0.03358474403248669,0.02490382439624325,0.1511974727429027,0.06674269086844915,112.78836053414264,2.1193871880457955,25.31373045019327,4.872028029644085
1192,00-0029892,Kyle Juszczyk,RB,32,2013.0,2024,2.5822829846056382e-06,0.1190250231467489,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,0.7147416168956278,3.227853730757053e-06,1.936712238454226e-06,-0.03956991237980672,0.0,1.2911414923028191e-06,0.0,13.506567817110309,38.294304126198554,1.050760623215405,0.10053550831545655,0.014911537307983159,4.193627684665022,-2.6703591041558092,0.0035755904492121627,17.606564393257855,23.162551857733092,163.19140645087268,2.1664962334390765,0.011643985040514646,-0.028605629479128966,108.16117633148488,85.06643024529437,11.090581523421896,6.598403397192591,-1.2809277958184597e-05,11.105391456132052,0.4764469926517504,0.4613197580890012,1.4097326994568031,0.9853819056053079,41.12273108320101,51.60085955066235,7.635086447397223,0.05808350695568407,0.049931310328132104,0.06001430745702218,0.13951337000788863,0.05543261411098708,0.11193930597702406,0.0727295091825128,0.08153244052717742,0.0779541852333208,0.08516714394776362,0.5292893719377068,0.04989140999212156,201.48571057707125,3.2172568566544815,48.1568915861821,6.307314516733289
1388,00-0030513,Latavius Murray,RB,33,2013.0,2024,2.5822829846056382e-06,-0.010786268867043687,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,-0.023295744961402746,3.227853730757053e-06,1.936712238454226e-06,0.001973070466105795,0.0,1.2911414923028191e-06,0.0,79.50513481567691,312.8028095349407,2.4252795505393725,0.4173229561741201,0.0453073056506811,15.736632712061612,-9.37824288386714,0.44993537998457,20.510866960411587,28.095439025985225,92.18958305665775,0.07761421162673421,0.5898737165584003,0.3950232966685578,7.092857191183847,58.75382649895103,2.2899527265042146,-4.82211507831638,-1.2809277958184597e-05,6.836205930017896,0.6059349805036588,0.005189694517264285,0.9339411144108035,1.9367122384542317e-06,46.030387763029616,62.1903561721209,12.656380620486013,0.06059250187870709,2.9238505524750438e-05,0.07017061148164147,0.07902371092794988,0.029593795022900278,-0.007605925827256676,0.024428728170993792,0.01794374540142432,0.013956764753459291,0.018624268292686687,0.18947780288394012,0.08344776655776476,404.99239259159845,2.5028937621661065,64.3244906304145,5.082376435984935
1455,00-0030578,Cordarrelle Patterson,RB,32,2013.0,2024,2.5822829846056382e-06,0.03875233527019594,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,0.7500517794188111,3.227853730757053e-06,1.936712238454226e-06,-0.06386112157053007,0.0,1.2911414923028191e-06,0.0,88.82666152465822,328.9076196480339,1.283453820406716,0.6098868527646705,0.4958491718310025,15.009386327836836,-7.902953998849792,0.01926514785056856,5.485556874064785,6.4537798889284215,23.90435180627668,0.05794860314290423,-0.006896158889668003,-0.023841448067924976,22.228564306656494,53.25663988610221,0.34660068983031583,1.8655870888249255,5.734263169428764e-05,-15.236765288228646,0.24223165821197978,0.10378693307771518,0.6371082564721787,1.9367122384542317e-06,44.804838267042605,42.83740087111753,5.868642221320289,0.049216518354926304,0.02604051971494138,0.07732080407211245,0.0698015755430684,0.022148175747245865,0.10993249199667501,0.021735217256168445,0.01666703725101278,0.038699854172312524,0.02293438565207785,0.22177876466204854,0.07770218286592832,352.8119714543106,1.3414024235496202,44.99751460304638,7.667448944080141
1500,00-0030874,Damien Williams,RB,31,2014.0,2024,2.5822829846056382e-06,0.008941877890006627,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,0.00330087686776634,3.227853730757053e-06,1.936712238454226e-06,-0.0037552961877467014,0.0,1.2911414923028191e-06,0.0,21.394235031427726,177.02117545724082,1.7882211514517279,0.49555474602319094,0.3278422221678305,6.697967731509418,3.6934279676796895,0.035265323963437796,3.9455432898138216,7.531094806894492,31.825018385331298,0.9694588089729371,0.18227191989877853,0.0881896468809857,15.00543547655084,36.866689644619164,2.0010193062432133,0.6087662343091946,-1.2809277958184597e-05,3.048292387764364,0.14450450041312227,0.05409639557097083,0.30580377412239634,1.9367122384542317e-06,41.32384449681624,38.844299744913876,6.310555870170508,0.018724920508698242,0.02036757093881396,0.02121672432875994,0.035379939164935835,0.013669081329990304,0.13663370709542247,0.018381816974519776,0.015061456466753786,0.04992442048573553,0.012166107420899,0.11297500647422055,0.04173664710630289,208.84619384257212,2.757679960424665,38.3095948498453,6.0707163739618695
1506,00-0030968,Keith Smith,RB,31,2014.0,2024,2.5822829846056382e-06,-0.0036976159075854807,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,-0.04822270646181764,3.227853730757053e-06,1.936712238454226e-06,0.000644379042473222,0.0,1.2911414923028191e-06,0.0,8.259059299925598,32.402156084709105,0.6880766529872198,0.1527424405313786,0.022661967291866602,2.0801404938780435,3.072384348755617,0.003550161906897862,2.187212863819604,3.237061404822733,19.742361417056195,0.14013014076892613,-0.0007812136184812007,-0.0035271802330165774,15.376004014687544,21.39060718522235,1.4988396368362198,2.27860238540761,-1.2809277958184597e-05,-5.27821357372505,0.1371607803846952,0.05526111460806001,0.3298732291386835,1.9367122384542317e-06,11.169137639309401,29.871391772049463,4.619705598332194,0.03381617028769492,0.014740545677606434,0.0460059923361975,0.054596848334679614,0.01661695095964236,0.024049809161641622,0.03722123265308513,0.032781120368415954,0.02761350733731752,0.031425303367083525,0.09942794275204567,0.05704672092402674,52.1445175017653,0.8282067937561459,11.106185523755434,2.4040894570781712
1661,00-0031376,Jerick McKinnon,RB,31,2014.0,2024,2.5822829846056382e-06,0.014026778698751364,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,-0.0024248543642642994,3.227853730757053e-06,1.936712238454226e-06,-0.006656014708160608,0.0,1.2911414923028191e-06,0.0,37.10530228384144,125.26915401456426,0.8655236726412155,0.16583907123480832,0.3059892919500275,7.5803308637028275,-3.92797305050397,0.005326151868776646,18.85240538222622,28.590481321558677,148.11171401343265,0.6978544325518443,0.5604308852768939,0.26458906131475385,21.778768108265893,137.34910405661125,8.015376225655334,4.080195634945603,-0.003202458218433554,2.8514670178910984,1.1273642983698648,0.050289226989855954,1.4607394614743414,1.9367122384542317e-06,57.52182023728643,74.91755155946976,11.74202571049792,0.08632385360158237,0.01361379810247737,0.0932453488962805,0.1214373787604343,0.0448270397903201,0.024528318892033333,0.06670709569837716,0.06729045850390974,0.039863813123552784,0.055789995985089165,0.3606726840815556,0.08547294821040749,273.38086802799694,1.5633781051930598,44.84131311051771,3.8188736948878828
1782,00-0031595,Michael Burton,RB,31,2015.0,2024,2.5822829846056382e-06,0.29702465700132147,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,7.313240716358709,3.227853730757053e-06,1.936712238454226e-06,-0.14342986353019188,0.0,1.2911414923028191e-06,0.0,69.66158051941235,259.5004544935194,1.8676371186156047,0.30952643267390617,0.187637881896773,14.634162487911002,-4.476688163098055,-0.01846614140316922,8.507981701028843,16.435124608937066,73.40587065827417,0.26847678103123623,0.07427624524639985,0.12374027741373957,26.505786774580848,70.77266869002118,2.617369589696353,0.45551679563154057,-1.2809277958184597e-05,10.534778038126989,0.3896378769892351,0.0327293173057037,0.4384456480089007,1.9367122384542317e-06,75.7096942512182,67.9187839292843,8.613130904126162,0.023735913431548298,0.005723857447625475,0.03971611802254241,0.029634277944596284,0.021777971594336205,0.027896360290308283,0.017704539215653754,0.019549323057624104,0.021019429126486553,0.009913760419507693,0.13292053103508603,0.031757919583708945,332.90632515179357,2.136113899646841,49.666108519447974,5.766324588850169
1805,00-0031687,Raheem Mostert,RB,31,2015.0,2024,2.5822829846056382e-06,-0.07594635546782903,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,-0.016186952339299825,3.227853730757053e-06,1.936712238454226e-06,0.0075360510490621495,0.0,1.2911414923028191e-06,0.0,203.50218375207038,805.2715141586399,5.727879041988506,0.6206550590563682,0.2130444812439702,45.96561902186219,-0.773254106531444,-0.0030869788810220476,26.387501623601917,28.340308545603484,195.16386303822603,0.10902330978404065,0.37741500017247687,0.28000871730026383,-8.85368082624642,216.14166737368868,8.495958283547216,0.447845765947904,-1.2809277958184597e-05,-3.577226953378608,0.8114595406317672,-0.14860080519765326,1.2646079823797731,1.9367122384542317e-06,130.5166360785088,129.6176490188269,12.264317383979265,0.04457240957495286,-0.008563486075427708,0.11420692221033533,0.06000249235284854,0.02390166193654037,0.019634794296509436,0.03015605861388437,0.021169703141958558,0.028432883171010098,0.038652239292543224,0.2350066397510344,0.1221955474545789,1000.4353771968659,5.8369023517725465,146.7675619774537,11.967038799010083
1895,00-0032104,Ameer Abdullah,RB,30,2015.0,2024,2.5822829846056382e-06,0.1425427192620538,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,0.8796036970318051,3.227853730757053e-06,1.936712238454226e-06,-0.06365192876643125,0.0,1.2911414923028191e-06,0.0,25.932349171074375,121.07677310965215,0.7005675327254768,0.19074261233974132,0.2929193185122377,10.183808957398075,-5.326908238369889,0.00017177707823144055,24.775452725028693,32.07649226030046,145.9286874178239,2.433682422444746,0.3935704674526774,-0.006649938490193514,63.836809245004005,117.03719350670036,10.018424242874922,-0.9371898744493257,-1.2809277958184597e-05,15.944417978278171,0.7893915836546835,0.15907456827698144,1.5740908133527778,1.9367122384542317e-06,43.194717959853016,63.379704161370405,13.3582732833566,0.0643731855552744,0.021088065234031363,0.057698574809304064,0.11072035959973918,0.045081008178240047,0.08561267783199919,0.06452634712041072,0.06593003355023887,0.1092340093272699,0.06439400472887066,0.3919565447094729,0.07860745035362852,267.0054605274761,3.1342499551702225,57.0231722795728,4.268753234044056
1936,00-0032144,Melvin Gordon,RB,30,2015.0,2024,2.5822829846056382e-06,-0.01754690652651454,1.162027343072539e-05,1.936712238454226e-06,0.0,0.0,0.0,0.0,0.0,-0.05120691717761962,3.227853730757053e-06,1.936712238454226e-06,0.001455912085656846,0.0,1.2911414923028191e-06,0.0,100.2536956930125,402.45946780775677,0.9587114550425309,0.9223731769566872,0.21046000916133012,16.210365720572437,-8.803023785924536,-0.01240176998833606,15.390951940662358,17.172665864099468,65.32146994191382,0.47829481920422584,-0.02526008592534421,-0.01614426761258914,24.256243437479778,64.58308549901288,3.241242310743993,2.9752488271336675,-1.2809277958184597e-05,2.8208560615945877,0.4797074714743359,0.09176746991932555,0.6918430991246546,1.9367122384542317e-06,60.381424322890624,55.530012338112435,9.474969956534059,0.0463372974124984,0.013520589358771984,0.06127332135740348,0.07296109877856637,0.03854119585222912,0.004447295395624482,0.03745783436063641,0.03162609527675781,0.020286661352787314,0.031020937889393696,0.263507144062622,0.07065279850212004,467.78093774967056,1.4370062742467566,62.004161151302675,6.543995541489165
