,player_name,pos,season,completions_y_pred_gbf,attempts_y_pred_gbf,passing_yards_y_pred_gbf,passing_tds_y_pred_gbf,interceptions_y_pred_gbf,sacks_y_pred_gbf,sack_yards_y_pred_gbf,sack_fumbles_y_pred_gbf,sack_fumbles_lost_y_pred_gbf,passing_air_yards_y_pred_gbf,passing_yards_after_catch_y_pred_gbf,passing_first_downs_y_pred_gbf,passing_epa_y_pred_gbf,passing_2pt_conversions_y_pred_gbf,pacr_y_pred_gbf,dakota_y_pred_gbf,carries_y_pred_gbf,rushing_yards_y_pred_gbf,rushing_tds_y_pred_gbf,rushing_fumbles_y_pred_gbf,rushing_fumbles_lost_y_pred_gbf,rushing_first_downs_y_pred_gbf,rushing_epa_y_pred_gbf,rushing_2pt_conversions_y_pred_gbf,receptions_y_pred_gbf,targets_y_pred_gbf,receiving_yards_y_pred_gbf,receiving_tds_y_pred_gbf,receiving_fumbles_y_pred_gbf,receiving_fumbles_lost_y_pred_gbf,receiving_air_yards_y_pred_gbf,receiving_yards_after_catch_y_pred_gbf,receiving_first_downs_y_pred_gbf,receiving_epa_y_pred_gbf,receiving_2pt_conversions_y_pred_gbf,racr_y_pred_gbf,target_share_y_pred_gbf,air_yards_share_y_pred_gbf,wopr_x_y_pred_gbf,special_teams_tds_y_pred_gbf,fantasy_points_y_pred_gbf,fantasy_points_ppr_y_pred_gbf,games_y_pred_gbf,tgt_sh_y_pred_gbf,ay_sh_y_pred_gbf,yac_sh_y_pred_gbf,wopr_y_y_pred_gbf,ry_sh_y_pred_gbf,rtd_sh_y_pred_gbf,rfd_sh_y_pred_gbf,rtdfd_sh_y_pred_gbf,dom_y_pred_gbf,w8dom_y_pred_gbf,yptmpa_y_pred_gbf,ppr_sh_y_pred_gbf,fantasy_points_proj,fantasy_points_proj/G,fantasy_points_proj/G_rank,fantasy_points_proj_rank
134,Kene Nwangwu,RB,2024.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,-0.01,0.0,0.0,0.0,22.21,86.98,0.65,0.1,0.32,2.13,-2.95,0.03,1.35,3.42,9.5,0.21,0.45,0.1,11.17,15.57,0.65,-0.59,0.08,5.92,0.08,0.02,0.15,0.0,11.79,15.73,6.12,0.02,0.01,0.02,0.04,0.01,0.04,0.02,0.02,0.04,0.01,0.07,0.02,16.09,2.63,508.5,472.0
135,Chris Evans,RB,2024.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,20.92,62.17,0.96,0.29,0.57,3.65,2.38,0.01,2.59,6.53,28.76,1.22,0.33,0.01,8.6,46.99,1.21,0.66,0.08,-4.23,0.2,0.05,0.36,0.0,30.1,50.23,3.34,0.03,0.01,0.06,0.06,0.02,0.12,0.03,0.03,0.04,0.02,0.2,0.06,24.87,7.44,239.0,405.0
136,Rhamondre Stevenson,RB,2024.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.01,0.0,0.0,0.0,87.36,420.72,3.55,0.61,0.21,16.22,-0.65,0.03,16.3,22.4,158.27,0.72,0.37,0.19,6.47,160.94,5.21,-9.74,0.1,0.07,0.7,0.07,1.36,0.0,65.64,94.0,10.56,0.05,0.0,0.12,0.09,0.05,0.06,0.06,0.05,0.05,0.04,0.37,0.08,101.28,9.6,173.5,151.0
137,Najee Harris,RB,2024.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,-0.02,0.0,0.0,0.0,163.87,648.03,4.22,0.53,0.7,28.08,-15.26,-0.02,16.91,22.97,185.89,0.79,0.43,0.56,-8.14,278.27,6.14,-4.14,0.0,5.98,1.27,-0.0,1.3,0.0,113.25,174.61,14.38,0.06,-0.01,0.07,0.09,0.04,0.05,0.04,0.05,0.04,0.03,0.31,0.12,136.75,9.51,176.0,112.0
138,Khalil Herbert,RB,2024.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,77.82,344.69,1.82,0.67,0.21,16.34,-0.36,-0.0,22.38,22.11,204.24,0.65,0.36,0.2,29.56,132.64,5.58,-3.56,0.08,30.78,0.85,0.17,1.24,0.0,41.51,70.19,9.42,0.07,-0.0,0.12,0.11,0.07,0.0,0.05,0.05,0.04,0.06,0.32,0.05,90.53,9.61,172.0,172.0
139,Kenneth Gainwell,RB,2024.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.08,0.0,0.0,0.0,49.41,227.04,1.26,0.43,0.28,10.42,-3.79,-0.01,31.53,45.0,221.05,1.2,0.25,-0.02,49.08,217.37,8.7,-0.3,0.01,47.16,1.18,0.18,1.8,0.0,57.6,79.59,11.79,0.08,0.01,0.11,0.13,0.05,0.04,0.06,0.06,0.05,0.06,0.45,0.08,83.91,7.12,251.0,183.0
140,Michael Carter,RB,2024.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,-0.0,0.0,0.0,0.0,69.41,294.81,0.81,0.18,0.09,14.86,-10.56,-0.01,14.78,15.83,63.1,0.99,0.39,-0.01,28.06,53.17,3.26,-6.41,0.02,4.99,0.49,0.14,0.75,0.0,41.04,46.66,11.76,0.06,0.01,0.06,0.09,0.04,0.09,0.05,0.06,0.11,0.05,0.28,0.06,62.46,5.31,349.5,228.0
141,Trey Sermon,RB,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,11.88,42.83,0.84,0.35,0.39,5.97,2.76,0.03,1.31,2.74,18.54,0.2,0.61,0.03,-2.61,9.82,0.9,-0.3,0.06,2.15,0.12,0.0,0.19,0.0,7.51,2.15,6.32,0.01,0.0,0.01,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.09,0.03,15.28,2.42,519.5,480.5
142,Javonte Williams,RB,2024.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,81.58,370.74,5.36,0.45,0.17,28.2,-9.83,0.02,21.3,32.04,120.02,0.63,0.36,0.5,-6.74,130.41,6.27,-10.61,0.07,-3.31,0.96,-0.05,1.09,0.0,83.44,96.32,11.4,0.05,0.0,0.12,0.07,0.04,0.05,0.06,0.06,0.08,0.06,0.31,0.1,111.58,9.78,169.0,144.0
143,Julio Jones,WR,2024.0,-0.0,0.02,-0.13,-0.0,0.0,0.0,0.0,0.0,0.0,0.84,-0.01,-0.0,-0.0,0.0,0.0,0.0,0.22,1.89,0.12,0.01,0.0,0.27,-0.23,0.0,8.96,17.16,66.98,1.07,0.18,-0.05,166.31,15.82,4.81,-1.04,0.03,2.47,0.48,0.74,1.63,0.0,13.85,17.84,5.95,0.08,0.12,0.04,0.23,0.09,0.04,0.11,0.12,0.1,0.09,0.63,0.08,21.0,3.53,466.0,428.0
