Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,3139605,Marlon Mack,RB,South Florida,American Athletic,226,0.067,0.218,0.043,0.018,0.09,0.26,0.066,0.069,15.147,6.744,8.403,2.162,6.682,8.835,10.71,4.437
2014,545379,Aaron Wimberly,RB,Iowa State,Big 12,174,0.067,0.242,0.018,-0.068,0.084,0.495,-0.004,0.314,11.676,9.206,2.47,-6.283,4.378,13.378,-0.575,12.252
2014,505202,Centarius Donald,RB,Louisiana Monroe,Sun Belt,179,0.072,0.251,0.033,-0.09,0.151,0.456,-0.025,0.419,12.833,8.016,4.816,-7.925,8.931,12.304,-3.502,16.334
2014,552811,Shadrach Abrokwah,RB,UMass,FBS Independents,134,0.073,-0.245,0.123,-0.017,-0.007,0.701,0.046,0.158,9.825,-4.402,14.227,-1.098,-0.339,13.317,4.596,5.229
2014,500365,Dominique Brown,RB,Louisville,ACC,104,0.074,0.261,0.048,-0.042,0.151,0.129,0.006,0.344,7.721,3.388,4.333,-2.235,4.986,1.812,0.49,7.232
2014,552329,Christian Hackenberg,QB,Penn State,Big Ten,549,0.075,0.059,0.256,-0.054,-0.117,0.432,-0.002,0.181,41.357,29.853,11.504,-11.498,-20.035,68.274,-0.553,41.91
2014,480846,C.J. Brown,QB,Maryland,Big Ten,456,0.083,0.021,0.264,-0.046,-0.035,0.355,0.008,0.19,37.636,7.241,30.395,-8.579,-4.689,46.501,2.218,35.418
2014,547570,Quinn Kaehler,QB,San Diego State,Mountain West,327,0.083,0.083,0.104,-0.13,-0.018,0.454,-0.06,0.247,27.277,26.655,0.622,-14.342,-1.784,50.413,-10.502,37.779
2014,536136,Jamaal Williams,RB,BYU,Big 12,108,0.086,-0.036,0.097,-0.071,0.243,0.357,0.02,0.305,9.285,-0.328,9.613,-4.143,9.495,3.932,1.661,7.623
2014,3124608,James Butler,RB,Nevada,Mountain West,123,0.087,0.354,0.078,-0.065,0.124,0.164,0.062,0.293,10.652,1.417,9.235,-4.328,4.717,1.967,6.849,3.803
2014,535979,Tucker Carter,QB,UT San Antonio,American Athletic,209,0.091,0.11,-0.007,-0.294,0.289,0.217,-0.092,0.324,19.066,19.285,-0.219,-21.14,20.52,13.897,-10.764,29.831
2014,503360,Brandon Hayes,RB,Memphis,American Athletic,197,0.093,0.272,0.073,-0.098,0.079,0.525,0.032,0.252,18.367,5.438,12.93,-9.424,4.887,19.432,4.527,13.84
2014,512052,Cole Stoudt,QB,Clemson,ACC,342,0.095,0.085,0.157,-0.092,-0.048,0.507,0.006,0.238,32.481,24.787,7.695,-11.338,-5.388,51.165,1.288,31.193
2014,545757,Tanner Lee,QB,Tulane,American Athletic,321,0.095,0.087,0.312,-0.23,0.047,0.578,-0.031,0.211,30.465,27.029,3.436,-22.081,5.515,57.271,-4.836,35.301
2014,511889,Jeff Driskel,QB,Florida,SEC,252,0.097,0.038,0.305,-0.047,0.101,0.184,0.052,0.166,24.517,7.463,17.054,-4.157,8.477,13.214,7.947,16.57
2014,512424,Justin Worley,QB,Tennessee,SEC,283,0.098,0.069,0.616,-0.244,0.057,0.509,-0.152,0.352,27.623,18.384,9.239,-23.883,5.788,42.283,-21.692,49.315
2014,546279,Don Jackson,RB,Nevada,Mountain West,217,0.098,0.819,0.04,0.028,-0.089,0.53,0.006,0.489,21.159,13.096,8.063,2.912,-6.616,18.554,1.114,20.045
2014,500419,Trevor Siemian,QB,Northwestern,Big Ten,445,0.104,0.09,0.239,-0.133,-0.015,0.542,0.032,0.211,46.459,36.421,10.037,-20.536,-2.158,73.649,8.442,38.017
2014,3133355,Corey Avery,RB,Kansas,Big 12,155,0.105,0.356,0.061,-0.159,0.241,0.427,-0.053,0.515,16.209,8.181,8.028,-11.302,12.541,12.394,-5.925,22.134
2014,532433,JD Sprague,QB,Ohio,Mid-American,256,0.106,0.005,0.5,0.026,-0.099,0.585,-0.059,0.293,27.021,1.003,26.018,2.544,-8.195,41.555,-8.089,35.11
2014,552519,Shaquille Murray-Lawrence,RB,UNLV,Mountain West,137,0.106,0.058,0.114,0.006,0.418,-0.189,0.072,0.216,14.495,1.156,13.339,0.427,16.709,-3.213,7.575,6.921
2014,513403,Kenneth Harper,RB,Temple,American Athletic,115,0.106,0.206,0.07,-0.321,0.175,0.278,0.144,0.022,12.17,6.181,5.99,-11.55,7.688,8.049,11.386,0.784
