season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2022,Akiem Hicks,7090,DI,TB,11,5,2,100,0,0,30,0,0,58.2,61.9,52.5,58.6,65.7,50.1,3,4,0,0,7,9.1,2,0,2,95.8,1,1,0,3,0,2,398,395,12,274,35,74,0,3,228,168,0,15,15,1,1,8,0,7,7,7
2022,Rodney McLeod,7271,S,IND,17,21,0,64.4,0,0,14,1,0,85.3,80.1,83.5,60.6,66.8,77.2,0,2,1,2,28,7.4,7,6,2,94.8,38,0,0,527,11,578,1034,30,0,0,30,0,290,1004,12,444,174,28,67,8,59,2,5,353,237,9.3
2022,Michael Thomas,7279,S,CIN,3,0,0,,0,0,7,0,0,64.3,58.6,73.9,57.6,51,80.6,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,15,26,1,0,0,1,0,12,25,2,9,2,0,2,0,0,0,0,0,0,
2022,Tashaun Gipson Sr.,7288,S,SF,17,11,0,56.7,0,0,28,0,0,58,67.2,89.7,58.2,89.5,91.2,0,1,0,5,40,1.7,1,3,0,51.5,17,1,0,128,11,671,1036,34,0,0,34,0,754,1002,9,356,109,7,48,1,30,2,0,301,73,17.7
2022,Brandon Bolden,7469,HB,LV,1,0,0,,0,0,23,0,0,,60,60,,60,,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
2022,Harrison Smith,7641,S,MIN,14,10,0,79.5,1,1,18,0,0,69.5,69.1,88.8,56,64.8,81,0,2,0,5,49,9.8,9,3,1,78,35,0,0,227,10,581,912,38,0,0,38,0,519,874,12,319,118,15,73,1,44,2,2,378,131,10.8
2022,Josh Norman,7649,CB,CAR,2,1,0,66.7,0,0,5,0,0,51.7,54,78.4,,60.6,79.6,0,0,0,0,25,0,0,0,0,134.7,4,0,0,4,67,32,71,0,0,0,0,0,0,71,0,39,0,1,5,0,6,0,1,54,27,13.5
2022,Justin Bethel,7654,CB,MIA,6,0,0,60,0,0,17,0,0,52.9,51.4,79.6,,47.9,57.3,0,0,0,1,19,11.8,2,2,1,70.2,12,0,0,23,36,102,125,2,0,0,2,0,1,123,0,23,61,2,15,0,20,0,1,107,58,8.9
2022,Xavier Rhodes,7806,CB,BUF,2,0,0,55.6,0,0,4,0,0,52.7,51.1,78.7,,44.8,37.6,0,0,0,0,19,25,1,0,0,71.1,5,0,0,1,71,50,72,0,0,0,0,0,0,72,0,22,0,0,3,0,9,0,0,49,8,9.8
2022,Darius Slay,7817,CB,PHI,17,7,0,54.7,0,0,24,0,0,77.4,73.1,87.6,,44.7,60.6,0,0,0,3,41,9.8,6,8,3,76.8,41,0,0,80,914,629,1002,1,0,0,1,0,2,1001,0,373,5,13,48,0,75,0,4,504,151,12.3
2022,Giovani Bernard,7818,HB,TB,1,0,0,,0,0,30,0,0,60.7,70.3,60.5,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022,Johnathan Hankins,7830,DI,DAL,10,5,1,,1,0,9,0,0,60,46,57.3,50.8,49.1,33.4,1,3,0,0,,10,2,0,1,0,0,0,0,0,0,1,235,235,34,186,0,15,0,0,106,128,0,9,13,1,0,4,0,0,0,
2022,Jon Bostic,7831,LB,WAS,9,6,0,70,0,0,32,0,0,50.4,46.1,81.3,50.6,47.7,64.6,0,1,0,0,41,9.1,2,0,0,130,7,0,0,255,0,140,263,3,0,0,3,0,0,260,10,113,5,7,14,0,10,1,1,87,83,12.4
2022,Jamie Collins Sr.,7833,LB,NE,3,1,0,100,0,0,19,0,0,50.1,64.2,77.7,56.1,71.1,70.5,0,0,0,0,11,0,0,0,0,112.5,1,0,0,1,0,10,41,37,0,0,37,0,0,4,3,28,3,0,0,0,1,0,0,11,5,11
2022,Tyrann Mathieu,7850,S,NO,17,18,0,67.4,0,1,20,1,0,87.9,81.2,86.6,70.7,62.9,65.4,1,2,0,3,21,10.2,10,4,2,65.9,29,1,0,525,19,631,1128,74,0,0,74,0,315,1054,20,477,195,19,70,3,43,4,2,219,139,7.6
2022,John Jenkins,7863,DI,MIA,16,6,0,,0,0,17,0,0,59.8,58.6,59.8,67.3,52.8,64.9,0,9,0,0,,5.3,1,0,1,0,0,0,0,0,0,1,258,257,141,102,0,14,0,1,135,122,0,8,12,0,0,9,0,0,0,
