Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,517255,Richard Mullaney,WR,Oregon State,Pac-12,35,0.443,0.443,0,0.294,0.383,0.508,0.319,0.682,15.509,15.509,0,3.823,6.134,2.541,7.326,8.182
2014,545462,Donovahn Jones,WR,Minnesota,Big Ten,27,0.443,0.528,-0.047,0.956,0.043,0.688,0.539,0.34,11.965,12.155,-0.189,8.604,0.609,2.753,7.54,4.425
2014,555426,J.J. Jones,RB,Oregon,Pac-12,1,0.444,0,0.444,0,0,0.444,0.444,0,0.444,0,0.444,0,0,0.444,0.444,0
2014,535081,Orlando David,TE,Miami (OH),Mid-American,1,0.444,0.444,0,0,0.444,0,0,0.444,0.444,0.444,0,0,0.444,0,0,0.444
2014,531104,Justin Thomas,QB,Georgia Tech,ACC,371,0.444,0.534,0.345,0.238,0.303,0.931,0.273,0.717,164.778,103.66,61.118,34.963,37.256,88.416,62.201,102.577
2014,532645,Zach Terrell,QB,Western Michigan,Mid-American,391,0.444,0.431,0.531,0.319,0.29,0.848,0.284,0.675,173.666,146.06,27.606,46.277,37.422,95.821,65.589,108.077
2014,531739,Chaz Anderson,WR,Boise State,Mountain West,37,0.444,0.467,-0.407,0.71,0.182,0.538,0.49,0.367,16.412,16.819,-0.407,12.065,1.816,4.303,11.279,5.133
2014,549989,Chandler Dorrell,WR,Vanderbilt,SEC,16,0.444,0.444,0,0.016,0.411,0.762,0.265,0.551,7.1,7.1,0,0.062,2.464,4.574,1.59,5.51
2014,534794,Cameron Posey,WR,Purdue,Big Ten,33,0.445,0.445,0,0.373,-0.158,0.97,0.11,0.692,14.683,14.683,0,2.987,-1.423,13.586,1.538,13.145
2014,518267,Rakeem Cato,QB,Marshall,Sun Belt,513,0.445,0.421,0.61,0.252,0.327,0.967,0.324,0.667,228.388,188.116,40.273,53.164,53.926,123.736,107.699,120.69
2014,543412,Miles Lerch,WR,UT San Antonio,American Athletic,8,0.445,0.445,0,-0.114,0.195,1.172,-0.114,0.781,3.564,3.564,0,-0.342,0.391,3.515,-0.342,3.906
2014,541207,Tyler Baker,WR,Washington State,Pac-12,41,0.446,0.446,0,0.035,0.677,0.703,0.401,0.509,18.278,18.278,0,0.523,13.539,4.216,9.626,8.652
2014,546688,Brian Lemelle,WR,Connecticut,FBS Independents,5,0.446,0.446,0,1.252,0.481,0.009,1.253,-0.092,2.232,2.232,0,1.252,0.961,0.018,2.507,-0.275
2014,3122760,Ricky Jones,TE,Louisiana Tech,Conference USA,4,0.446,0.625,-0.09,0,0.446,0,0,0.446,1.784,1.874,-0.09,0,1.784,0,0,1.784
2014,552951,Jimmy Williams,WR,East Carolina,American Athletic,33,0.448,0.5,-0.355,0.292,0.984,0.567,0.345,0.628,14.792,15.502,-0.71,4.081,6.888,6.237,7.253,7.539
2014,516311,Trey Norman,WR,Wyoming,Mountain West,3,0.448,0.448,0,-0.665,1.446,0.563,-0.665,1.004,1.343,1.343,0,-0.665,1.446,0.563,-0.665,2.008
2014,546413,Hansell Wilson,WR,San José State,Mountain West,48,0.448,0.479,-1.016,0.095,0.617,0.723,0.244,0.787,21.489,22.505,-1.016,1.702,11.113,8.675,7.331,14.158
2014,511474,Kellen Clute,TE,Oregon State,Pac-12,1,0.449,0.449,0,0,0.449,0,0,0.449,0.449,0.449,0,0,0.449,0,0,0.449
2014,520582,Chris Kearney,WR,San José State,Mountain West,8,0.45,0.45,0,0.331,-0.284,1.262,-0.038,1.262,3.597,3.597,0,0.662,-0.852,3.787,-0.19,3.787
2014,505259,B.J. Chitty,WR,Troy,Sun Belt,23,0.45,0.45,0,0.608,0.22,0.59,0.63,0.17,10.343,10.343,0,3.648,1.976,4.718,8.816,1.527
2014,531796,D.J. Thompson,WR,Southern Mississippi,Sun Belt,30,0.451,0.451,0,0.246,-0.369,1.116,0.163,0.671,13.518,13.518,0,2.709,-2.58,13.389,2.114,11.404
2014,550203,Grant Niemiec,TE,Miami (OH),Mid-American,2,0.451,0,0.451,0.589,0.314,0,0.451,0,0.903,0,0.903,0.589,0.314,0,0.903,0
2014,515528,Garrett Grayson,QB,Colorado State,Mountain West,447,0.451,0.485,0.035,0.297,0.333,0.826,0.362,0.566,201.521,200.334,1.187,52.538,51.301,92.547,91.102,110.419
2014,501223,Jerome Lewis,TE,Akron,Mid-American,3,0.451,0.451,0,0.794,-0.235,0,0.794,-0.235,1.353,1.353,0,1.588,-0.235,0,1.588,-0.235
2014,538152,Tres Houston,WR,Arkansas State,Sun Belt,79,0.454,0.454,0,0.57,0.323,0.675,0.371,0.59,35.872,35.872,0,18.235,8.063,12.829,18.164,17.708
2014,549980,Latevius Rayford,WR,Vanderbilt,SEC,51,0.454,0.45,0.553,0.529,0.217,0.723,0.445,0.465,23.147,22.04,1.106,10.571,4.344,7.227,12.459,10.687
2014,545502,Zach Allen,QB,TCU,Big 12,4,0.456,0.996,-0.084,0,0.749,-0.424,0.086,0.826,1.823,1.991,-0.169,0,2.247,-0.424,0.171,1.651
2014,559629,Jared Cornelius,WR,Arkansas,SEC,31,0.456,0.584,-0.213,0.285,0.568,0.557,0.493,0.415,14.121,15.184,-1.064,3.426,5.683,5.012,7.896,6.225
2014,3123075,Braxton Berrios,WR,Miami,ACC,37,0.457,0.457,0,0.055,0.47,0.264,0.152,1.18,16.925,16.925,0,0.663,4.695,3.171,3.943,12.982
2014,532637,Corey Jones,WR,Toledo,Mid-American,93,0.459,0.419,0.888,0.28,0.755,0.363,0.358,0.807,42.726,35.625,7.101,12.616,19.621,7.259,25.778,16.947
2014,534444,Travin Dural,WR,LSU,SEC,84,0.46,0.422,0.742,0.591,0.579,0.278,0.435,0.501,38.619,31.199,7.42,19.487,15.636,6.385,22.597,16.023
2014,546533,Corey Willis,WR,Central Michigan,Mid-American,8,0.46,0.708,-1.269,-0.095,1.727,0.305,-0.095,1.016,3.684,4.953,-1.269,-0.379,3.453,0.61,-0.379,4.063
2014,506046,Gabe Henderson,WR,Liberty,Conference USA,12,0.46,0.46,0,-0.651,0.752,1.278,-0.062,0.982,5.517,5.517,0,-2.603,3.01,5.11,-0.375,5.892
2014,550355,Mykel Traylor-Bennett,WR,Akron,Mid-American,31,0.46,0.46,0,0.432,0.495,0.491,0.217,1.054,14.26,14.26,0,7.349,4.946,1.965,4.773,9.486
2014,546290,Kendal Keys,WR,UNLV,Mountain West,39,0.46,0.446,0.726,-0.03,0.385,0.675,0.134,0.93,17.943,16.49,1.453,-0.478,4.234,6.748,3.071,14.872
2014,545959,Booker Mays,WR,Arkansas State,Sun Belt,24,0.461,0.461,0,-0.046,0.135,1.063,0.303,0.619,11.065,11.065,0,-0.372,0.811,10.626,3.634,7.431
2014,545695,Ed'Marques Batties,WR,Middle Tennessee,Conference USA,52,0.461,0.454,0.836,0.359,0.255,1.439,0.43,0.519,23.972,23.136,0.836,8.618,5.106,10.071,14.629,9.343
2014,504057,DeAndrew White,WR,Alabama,SEC,65,0.461,0.525,-1.549,0.303,0.033,1.241,0.302,0.817,29.954,33.051,-3.097,6.974,0.836,19.863,13.608,16.346
