Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
140,Lamar,33,19,14,0.576,-5.03,-7.84,12,6,11,3,5,11,2568,2406,1340,808,1919,0.421,257,767,0.335,533,756,0.705,377,1161,473,240,101,463,613
141,Le Moyne,32,15,17,0.469,-10.93,-9.41,9,7,10,3,5,14,2318,2245,1285,811,1916,0.423,273,829,0.329,350,492,0.711,355,1225,459,200,76,424,444
142,Lehigh,32,14,18,0.438,-7.27,-6.4,9,9,6,7,8,11,2326,2272,1310,828,1880,0.44,240,695,0.345,376,541,0.695,262,1150,388,209,115,410,545
143,Liberty,32,18,14,0.563,1.78,-1.35,7,9,12,3,2,8,2362,2096,1290,775,1769,0.438,179,571,0.313,367,506,0.725,252,1042,312,187,114,372,505
144,Lindenwood,31,9,22,0.29,-18.42,-6.92,3,15,4,10,3,12,2019,2266,1245,781,1691,0.462,241,647,0.372,463,640,0.723,281,1119,400,192,118,388,569
145,Lipscomb,32,20,12,0.625,-1.61,-4.71,11,5,12,2,6,9,2626,2448,1280,926,2015,0.46,268,754,0.355,328,459,0.715,324,1115,387,164,114,369,493
146,Little Rock,33,21,12,0.636,-2.95,-8.14,14,4,14,4,6,6,2553,2382,1330,819,1955,0.419,236,738,0.32,508,687,0.739,370,1134,394,182,99,415,564
147,Long Beach State,35,21,14,0.6,-0.98,-1.59,10,10,8,5,9,7,2721,2650,1410,921,2133,0.432,322,932,0.345,486,672,0.723,378,1242,542,245,90,482,711
148,Long Island University,29,7,22,0.241,-17.7,-7.43,6,10,5,5,1,17,1929,2227,1170,779,1713,0.455,183,588,0.311,486,703,0.691,299,1097,428,251,121,330,462
149,Longwood,34,21,13,0.618,-1.47,-5.57,6,10,13,3,6,10,2569,2310,1380,806,1849,0.436,253,738,0.343,445,645,0.69,274,1012,400,211,98,469,666
