School,NCAA Tournament?,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,N,32,15,17,0.469,-3.81,-1.17,10,10,8,6,5,9,2320,2351,1295,811,1877,0.432,165,484,0.341,533,729,0.731,314,1070,405,253,65,404,634
Air Force,N,31,9,22,0.29,-4.33,1.87,2,16,4,12,5,8,2051,2243,1250,727,1604,0.453,273,757,0.361,324,475,0.682,225,872,451,202,122,372,541
Akron,Y,34,24,10,0.706,3.02,-2.52,13,5,13,1,7,6,2517,2239,1365,890,1952,0.456,274,835,0.328,463,636,0.728,354,1252,447,192,99,389,563
Alabama,Y,32,21,11,0.656,21.12,11.43,13,5,14,2,5,5,2904,2594,1290,989,2073,0.477,354,969,0.365,572,730,0.784,407,1267,515,232,133,383,636
Alabama A&M,N,33,11,22,0.333,-14.67,-7.58,9,9,7,5,3,14,2267,2501,1325,753,1806,0.417,139,488,0.285,622,865,0.719,373,1170,344,251,127,534,695
Alabama State,N,32,13,19,0.406,-11.74,-6.87,8,10,7,5,3,13,2195,2221,1303,772,2087,0.37,223,793,0.281,428,592,0.723,453,1265,345,277,123,361,609
Albany (NY),N,32,13,19,0.406,-6.46,-5.08,5,11,8,5,5,13,2517,2521,1285,918,2059,0.446,250,757,0.33,431,594,0.726,364,1153,411,266,101,425,621
Alcorn State,N,32,14,18,0.438,-11.59,-5.62,13,5,7,3,7,14,2300,2477,1285,818,1851,0.442,166,492,0.337,498,699,0.712,360,1086,371,220,56,370,567
American,N,32,16,16,0.5,-8.75,-8.59,10,8,8,7,8,9,2200,2176,1291,782,1740,0.449,279,794,0.351,355,492,0.722,287,1043,449,186,54,347,527
Appalachian State,N,33,27,6,0.818,6.42,-2.58,16,2,15,0,8,4,2589,2196,1350,966,2033,0.475,217,647,0.335,440,649,0.678,366,1385,484,205,226,355,429
Arizona,Y,33,25,8,0.758,25.35,9.65,15,5,15,1,7,4,2902,2384,1345,1041,2129,0.489,258,695,0.371,562,782,0.719,437,1407,615,273,115,397,539
Arizona State,N,32,14,18,0.438,4.88,9.85,8,12,10,5,3,8,2209,2368,1285,791,1901,0.416,215,716,0.3,412,629,0.655,269,1064,385,263,117,335,532
Arkansas,N,33,16,17,0.485,6.38,8.41,6,12,12,6,2,7,2566,2633,1340,859,1898,0.453,199,625,0.318,649,859,0.756,281,1139,387,198,201,395,655
Arkansas State,N,34,18,16,0.529,0.52,-1.07,11,7,10,3,5,11,2677,2623,1365,934,2117,0.441,321,921,0.349,488,693,0.704,440,1298,492,190,150,386,600
Arkansas-Pine Bluff,N,31,13,18,0.419,-15.62,-7.66,8,10,8,6,5,12,2483,2536,1240,813,1821,0.446,337,898,0.375,520,682,0.762,261,1073,467,183,67,413,568
Army,N,32,10,22,0.313,-14.44,-8.71,6,12,6,11,4,11,1930,2059,1295,707,1747,0.405,252,788,0.32,264,449,0.588,308,1088,401,184,126,389,506
Auburn,Y,33,26,7,0.788,23,7.82,13,5,15,1,5,5,2747,2246,1320,952,2007,0.474,267,756,0.353,576,768,0.75,378,1249,593,243,202,348,633
Austin Peay,N,34,19,15,0.559,-5.24,-4.24,10,6,14,2,4,12,2548,2480,1385,917,2038,0.45,271,739,0.367,443,630,0.703,367,1159,378,240,94,297,598
Ball State,N,31,15,16,0.484,-6.47,-5.71,7,11,9,7,6,8,2280,2200,1255,769,1726,0.446,232,641,0.362,510,665,0.767,294,1082,385,170,96,374,469
Baylor,Y,33,23,10,0.697,20.22,11.41,11,7,15,2,4,5,2658,2350,1350,913,1890,0.483,279,719,0.388,553,751,0.736,377,1163,490,222,106,399,546
Bellarmine,N,31,8,23,0.258,-11.42,-2.1,4,12,6,7,2,16,2153,2320,1250,797,1837,0.434,238,698,0.341,321,412,0.779,245,1002,420,164,60,297,486
Belmont,N,33,20,13,0.606,2.92,1.58,12,8,12,2,6,9,2570,2493,1325,922,1939,0.476,301,811,0.371,425,588,0.723,237,1130,504,248,101,402,511
Bethune-Cookman,N,33,17,16,0.515,-12.16,-9.1,11,7,11,2,5,11,2394,2381,1335,825,1922,0.429,194,608,0.319,550,728,0.755,347,1111,402,342,112,465,675
Binghamton,N,30,15,15,0.5,-9.12,-5.05,7,9,10,4,5,11,2163,2167,1210,801,1738,0.461,164,536,0.306,397,595,0.667,313,1156,435,150,113,366,498
Boise State,Y,32,22,10,0.688,13.84,7.44,13,5,13,3,7,3,2426,2161,1290,835,1846,0.452,256,741,0.345,500,680,0.735,365,1190,400,184,77,357,533
Boston College,N,34,19,15,0.559,9.45,6.98,8,12,10,6,6,6,2535,2451,1370,931,2035,0.457,283,784,0.361,390,520,0.75,318,1198,483,204,120,361,538
Boston University,N,33,16,17,0.485,-9.72,-8.29,10,8,9,7,7,10,2193,2198,1335,768,1856,0.414,254,763,0.333,403,562,0.717,309,1167,427,216,102,384,571
Bowling Green State,N,33,20,13,0.606,-4.8,-5.47,10,8,12,4,5,7,2427,2337,1345,854,1987,0.43,211,710,0.297,508,712,0.713,379,1259,369,215,91,378,523
Bradley,N,33,22,11,0.667,9.66,2.57,13,7,13,3,6,6,2461,2212,1335,895,1887,0.474,297,797,0.373,374,518,0.722,309,1148,441,239,135,400,553
Brigham Young,Y,33,23,10,0.697,20.36,8.42,10,8,16,2,3,7,2701,2307,1320,970,2098,0.462,370,1063,0.348,391,530,0.738,394,1308,613,196,99,352,584
Brown,N,30,13,17,0.433,-3.61,-1.71,8,6,5,7,6,8,2151,2165,1221,759,1763,0.431,247,720,0.343,386,588,0.656,360,1120,404,193,128,376,508
Bryant,N,33,20,13,0.606,-2.86,-3.35,11,5,11,3,8,10,2598,2488,1330,954,2087,0.457,273,806,0.339,417,623,0.669,259,1246,487,230,213,393,557
Bucknell,N,33,14,19,0.424,-8.1,-6.16,10,8,6,8,8,11,2153,2217,1335,758,1770,0.428,269,795,0.338,368,514,0.716,276,1073,399,202,113,405,559
Buffalo,N,31,4,27,0.129,-14.88,-2.58,2,16,2,13,2,12,2108,2471,1245,770,1830,0.421,207,746,0.277,361,504,0.716,323,1082,415,188,141,450,484
Butler,N,32,18,14,0.563,12.23,9.42,9,11,12,5,4,7,2472,2359,1310,894,1977,0.452,268,758,0.354,416,525,0.792,298,1128,480,199,106,347,443
Cal Poly,N,32,4,28,0.125,-13.26,-1.9,0,20,3,11,0,16,2037,2371,1295,719,1778,0.404,198,598,0.331,401,569,0.705,283,1000,314,173,117,405,614
Cal State Bakersfield,N,32,13,19,0.406,-5.06,-1.86,8,12,10,4,2,13,2199,2214,1295,807,1861,0.434,150,476,0.315,435,602,0.723,382,1109,335,220,114,389,652
Cal State Fullerton,N,32,14,18,0.438,-4.74,-0.74,7,13,7,7,6,10,2172,2212,1285,740,1717,0.431,207,627,0.33,485,685,0.708,269,1048,284,214,98,393,571
Cal State Northridge,N,34,19,15,0.559,-4.44,-3.79,9,11,9,7,9,7,2551,2503,1365,940,2065,0.455,165,537,0.307,506,757,0.668,402,1362,472,253,114,481,707
California,N,32,13,19,0.406,5.24,8.3,9,11,10,6,3,8,2367,2465,1310,833,1980,0.421,281,831,0.338,420,578,0.727,343,1189,387,193,83,370,552
California Baptist,N,33,16,17,0.485,-2.37,-2.31,8,12,11,7,4,9,2222,2197,1330,762,1857,0.41,220,674,0.326,478,700,0.683,397,1241,372,133,87,392,524
Campbell,N,32,14,18,0.438,-10.44,-5.47,8,10,11,6,3,11,2272,2307,1295,806,1740,0.463,232,673,0.345,428,590,0.725,246,1040,425,202,77,383,485
Canisius,N,32,14,18,0.438,-7.7,-4.63,8,12,8,4,3,12,2252,2307,1290,841,1910,0.44,232,690,0.336,338,541,0.625,384,1181,401,192,111,432,520
